start_node,rep,day_idx,variant,reward,valid,delta_vs_baseline
0,0,19,baseline,3710.0,True,0.0
0,0,19,vc=0.25,3587.0,True,-123.0
0,0,19,vc=0.5,3597.0,True,-113.0
0,0,19,vc=1.0,3597.0,True,-113.0
0,1,2,baseline,3587.0,True,0.0
0,1,2,vc=0.25,3750.0,True,163.0
0,1,2,vc=0.5,4356.0,True,769.0
0,1,2,vc=1.0,4356.0,True,769.0
0,2,22,baseline,3680.0,True,0.0
0,2,22,vc=0.25,3657.0,True,-23.0
0,2,22,vc=0.5,3657.0,True,-23.0
0,2,22,vc=1.0,3657.0,True,-23.0
1,0,2,baseline,5071.0,True,0.0
1,0,2,vc=0.25,5071.0,True,0.0
1,0,2,vc=0.5,5071.0,True,0.0
1,0,2,vc=1.0,4341.0,True,-730.0
1,1,20,baseline,4074.0,True,0.0
1,1,20,vc=0.25,5723.0,True,1649.0
1,1,20,vc=0.5,5723.0,True,1649.0
1,1,20,vc=1.0,5723.0,True,1649.0
1,2,24,baseline,5007.0,True,0.0
1,2,24,vc=0.25,5007.0,True,0.0
1,2,24,vc=0.5,4731.0,True,-276.0
1,2,24,vc=1.0,6000.0,True,993.0
2,0,14,baseline,4724.0,True,0.0
2,0,14,vc=0.25,4724.0,True,0.0
2,0,14,vc=0.5,4922.0,True,198.0
2,0,14,vc=1.0,4922.0,True,198.0
2,1,28,baseline,5209.0,True,0.0
2,1,28,vc=0.25,5209.0,True,0.0
2,1,28,vc=0.5,3793.0,True,-1416.0
2,1,28,vc=1.0,3793.0,True,-1416.0
2,2,22,baseline,6335.0,True,0.0
2,2,22,vc=0.25,6335.0,True,0.0
2,2,22,vc=0.5,6335.0,True,0.0
2,2,22,vc=1.0,6335.0,True,0.0
3,0,14,baseline,1721.0,True,0.0
3,0,14,vc=0.25,1937.0,True,216.0
3,0,14,vc=0.5,2128.0,True,407.0
3,0,14,vc=1.0,2128.0,True,407.0
3,1,22,baseline,3932.0,True,0.0
3,1,22,vc=0.25,3932.0,True,0.0
3,1,22,vc=0.5,3932.0,True,0.0
3,1,22,vc=1.0,3932.0,True,0.0
3,2,3,baseline,1791.0,True,0.0
3,2,3,vc=0.25,1791.0,True,0.0
3,2,3,vc=0.5,1791.0,True,0.0
3,2,3,vc=1.0,1972.0,True,181.0
4,0,14,baseline,1719.0,True,0.0
4,0,14,vc=0.25,1903.0,True,184.0
4,0,14,vc=0.5,2013.0,True,294.0
4,0,14,vc=1.0,2013.0,True,294.0
4,1,10,baseline,3057.0,True,0.0
4,1,10,vc=0.25,3057.0,True,0.0
4,1,10,vc=0.5,3057.0,True,0.0
4,1,10,vc=1.0,3057.0,True,0.0
4,2,5,baseline,2378.0,True,0.0
4,2,5,vc=0.25,2408.0,True,30.0
4,2,5,vc=0.5,2408.0,True,30.0
4,2,5,vc=1.0,2518.0,True,140.0
5,0,24,baseline,3020.0,True,0.0
5,0,24,vc=0.25,3020.0,True,0.0
5,0,24,vc=0.5,3020.0,True,0.0
5,0,24,vc=1.0,3020.0,True,0.0
5,1,18,baseline,1670.0,True,0.0
5,1,18,vc=0.25,1777.0,True,107.0
5,1,18,vc=0.5,1777.0,True,107.0
5,1,18,vc=1.0,1777.0,True,107.0
5,2,11,baseline,2908.0,True,0.0
5,2,11,vc=0.25,2908.0,True,0.0
5,2,11,vc=0.5,2908.0,True,0.0
5,2,11,vc=1.0,2908.0,True,0.0
6,0,12,baseline,5248.0,True,0.0
6,0,12,vc=0.25,5248.0,True,0.0
6,0,12,vc=0.5,5248.0,True,0.0
6,0,12,vc=1.0,5248.0,True,0.0
6,1,2,baseline,4321.0,True,0.0
6,1,2,vc=0.25,4321.0,True,0.0
6,1,2,vc=0.5,4321.0,True,0.0
6,1,2,vc=1.0,4321.0,True,0.0
6,2,6,baseline,4099.0,True,0.0
6,2,6,vc=0.25,4556.0,True,457.0
6,2,6,vc=0.5,4227.0,True,128.0
6,2,6,vc=1.0,4423.0,True,324.0
7,0,29,baseline,3837.0,True,0.0
7,0,29,vc=0.25,4305.0,True,468.0
7,0,29,vc=0.5,4305.0,True,468.0
7,0,29,vc=1.0,4305.0,True,468.0
7,1,24,baseline,4005.0,True,0.0
7,1,24,vc=0.25,4005.0,True,0.0
7,1,24,vc=0.5,4005.0,True,0.0
7,1,24,vc=1.0,4030.0,True,25.0
7,2,1,baseline,3287.0,True,0.0
7,2,1,vc=0.25,3287.0,True,0.0
7,2,1,vc=0.5,3287.0,True,0.0
7,2,1,vc=1.0,3287.0,True,0.0
8,0,29,baseline,4539.0,True,0.0
8,0,29,vc=0.25,4539.0,True,0.0
8,0,29,vc=0.5,4539.0,True,0.0
8,0,29,vc=1.0,3942.0,True,-597.0
8,1,4,baseline,3081.0,True,0.0
8,1,4,vc=0.25,3081.0,True,0.0
8,1,4,vc=0.5,3558.0,True,477.0
8,1,4,vc=1.0,4007.0,True,926.0
8,2,21,baseline,6300.0,True,0.0
8,2,21,vc=0.25,6300.0,True,0.0
8,2,21,vc=0.5,6300.0,True,0.0
8,2,21,vc=1.0,6300.0,True,0.0
9,0,27,baseline,905.0,True,0.0
9,0,27,vc=0.25,905.0,True,0.0
9,0,27,vc=0.5,941.0,True,36.0
9,0,27,vc=1.0,941.0,True,36.0
9,1,12,baseline,2608.0,True,0.0
9,1,12,vc=0.25,2608.0,True,0.0
9,1,12,vc=0.5,2608.0,True,0.0
9,1,12,vc=1.0,2608.0,True,0.0
9,2,26,baseline,1821.0,True,0.0
9,2,26,vc=0.25,1821.0,True,0.0
9,2,26,vc=0.5,1821.0,True,0.0
9,2,26,vc=1.0,1821.0,True,0.0
10,0,10,baseline,6402.0,True,0.0
10,0,10,vc=0.25,6402.0,True,0.0
10,0,10,vc=0.5,6402.0,True,0.0
10,0,10,vc=1.0,6402.0,True,0.0
10,1,21,baseline,2630.0,True,0.0
10,1,21,vc=0.25,2880.0,True,250.0
10,1,21,vc=0.5,2880.0,True,250.0
10,1,21,vc=1.0,2880.0,True,250.0
10,2,5,baseline,2842.0,True,0.0
10,2,5,vc=0.25,2842.0,True,0.0
10,2,5,vc=0.5,2842.0,True,0.0
10,2,5,vc=1.0,2842.0,True,0.0
11,0,1,baseline,3913.0,True,0.0
11,0,1,vc=0.25,4174.0,True,261.0
11,0,1,vc=0.5,5623.0,True,1710.0
11,0,1,vc=1.0,5623.0,True,1710.0
11,1,15,baseline,4417.0,True,0.0
11,1,15,vc=0.25,4417.0,True,0.0
11,1,15,vc=0.5,4417.0,True,0.0
11,1,15,vc=1.0,4417.0,True,0.0
11,2,4,baseline,4455.0,True,0.0
11,2,4,vc=0.25,5393.0,True,938.0
11,2,4,vc=0.5,5393.0,True,938.0
11,2,4,vc=1.0,5803.0,True,1348.0
12,0,21,baseline,5449.0,True,0.0
12,0,21,vc=0.25,5449.0,True,0.0
12,0,21,vc=0.5,5449.0,True,0.0
12,0,21,vc=1.0,5891.0,True,442.0
12,1,25,baseline,4053.0,True,0.0
12,1,25,vc=0.25,4321.0,True,268.0
12,1,25,vc=0.5,5321.0,True,1268.0
12,1,25,vc=1.0,5321.0,True,1268.0
12,2,10,baseline,4454.0,True,0.0
12,2,10,vc=0.25,4454.0,True,0.0
12,2,10,vc=0.5,5215.0,True,761.0
12,2,10,vc=1.0,4998.0,True,544.0
13,0,26,baseline,5255.0,True,0.0
13,0,26,vc=0.25,5301.0,True,46.0
13,0,26,vc=0.5,5378.0,True,123.0
13,0,26,vc=1.0,4216.0,True,-1039.0
13,1,11,baseline,4454.0,True,0.0
13,1,11,vc=0.25,4454.0,True,0.0
13,1,11,vc=0.5,4454.0,True,0.0
13,1,11,vc=1.0,5237.0,True,783.0
13,2,9,baseline,4663.0,True,0.0
13,2,9,vc=0.25,4663.0,True,0.0
13,2,9,vc=0.5,4663.0,True,0.0
13,2,9,vc=1.0,4639.0,True,-24.0
14,0,13,baseline,3539.0,True,0.0
14,0,13,vc=0.25,3539.0,True,0.0
14,0,13,vc=0.5,3539.0,True,0.0
14,0,13,vc=1.0,3814.0,True,275.0
14,1,5,baseline,3140.0,True,0.0
14,1,5,vc=0.25,3140.0,True,0.0
14,1,5,vc=0.5,3324.0,True,184.0
14,1,5,vc=1.0,3324.0,True,184.0
14,2,22,baseline,5642.0,True,0.0
14,2,22,vc=0.25,5642.0,True,0.0
14,2,22,vc=0.5,5642.0,True,0.0
14,2,22,vc=1.0,5642.0,True,0.0
15,0,13,baseline,3829.0,True,0.0
15,0,13,vc=0.25,5266.0,True,1437.0
15,0,13,vc=0.5,5266.0,True,1437.0
15,0,13,vc=1.0,5266.0,True,1437.0
15,1,6,baseline,3752.0,True,0.0
15,1,6,vc=0.25,3752.0,True,0.0
15,1,6,vc=0.5,4592.0,True,840.0
15,1,6,vc=1.0,4975.0,True,1223.0
15,2,9,baseline,4139.0,True,0.0
15,2,9,vc=0.25,4332.0,True,193.0
15,2,9,vc=0.5,4332.0,True,193.0
15,2,9,vc=1.0,4139.0,True,0.0
16,0,26,baseline,4863.0,True,0.0
16,0,26,vc=0.25,4863.0,True,0.0
16,0,26,vc=0.5,5102.0,True,239.0
16,0,26,vc=1.0,5387.0,True,524.0
16,1,12,baseline,4684.0,True,0.0
16,1,12,vc=0.25,4684.0,True,0.0
16,1,12,vc=0.5,5041.0,True,357.0
16,1,12,vc=1.0,5054.0,True,370.0
16,2,4,baseline,4762.0,True,0.0
16,2,4,vc=0.25,4762.0,True,0.0
16,2,4,vc=0.5,5353.0,True,591.0
16,2,4,vc=1.0,5393.0,True,631.0
17,0,19,baseline,4830.0,True,0.0
17,0,19,vc=0.25,4830.0,True,0.0
17,0,19,vc=0.5,4830.0,True,0.0
17,0,19,vc=1.0,5421.0,True,591.0
17,1,2,baseline,5351.0,True,0.0
17,1,2,vc=0.25,5351.0,True,0.0
17,1,2,vc=0.5,5351.0,True,0.0
17,1,2,vc=1.0,5351.0,True,0.0
17,2,9,baseline,4464.0,True,0.0
17,2,9,vc=0.25,4464.0,True,0.0
17,2,9,vc=0.5,4318.0,True,-146.0
