start_node,rep,strategy,reward,oracle_reward,gap_oracle_pct,rhlr_reward,adv_vs_rhlr_pct,mc_reward,valid,rollout_time
0,0,real_beam1,4079.0,5031.0,18.922679387795664,4948.0,-17.562651576394504,4680.0,True,0.4269089698791504
0,0,real_beam10,4195.0,5031.0,16.616974756509638,4948.0,-15.218270008084076,4680.0,True,0.15543723106384277
0,0,real_beam20,4260.0,5031.0,15.324985092426951,4948.0,-13.904607922392886,4680.0,True,0.29453539848327637
0,1,real_beam1,4269.0,5546.0,23.02560403894699,5042.0,-15.331217770725903,4915.0,True,0.0326993465423584
0,1,real_beam10,4731.0,5546.0,14.695275874504146,5042.0,-6.168187227290757,4915.0,True,0.1725625991821289
0,1,real_beam20,5055.0,5546.0,8.853227551388388,5042.0,0.25783419278064257,4915.0,True,0.30526137351989746
0,2,real_beam1,4060.0,5123.0,20.74956080421628,4905.0,-17.227319062181447,5063.0,True,0.032563209533691406
0,2,real_beam10,4028.0,5123.0,21.374194807729847,4905.0,-17.879714576962282,5063.0,True,0.16101789474487305
0,2,real_beam20,4632.0,5123.0,9.584227991411282,4905.0,-5.565749235474006,5063.0,True,0.29280710220336914
1,0,real_beam1,5235.0,6087.0,13.997042878265157,4419.0,18.46571622539036,5140.0,True,0.038721561431884766
1,0,real_beam10,5071.0,6087.0,16.691309347790373,4419.0,14.754469336954063,5140.0,True,0.18639469146728516
1,0,real_beam20,5071.0,6087.0,16.691309347790373,4419.0,14.754469336954063,5140.0,True,0.34860992431640625
1,1,real_beam1,3937.0,6039.0,34.80708726610366,5198.0,-24.259330511735282,5339.0,True,0.03307461738586426
1,1,real_beam10,3614.0,6039.0,40.15565490975327,5198.0,-30.473258945748366,5339.0,True,0.14612483978271484
1,1,real_beam20,4421.0,6039.0,26.79251531710548,5198.0,-14.948056944978838,5339.0,True,0.3130180835723877
1,2,real_beam1,3847.0,6000.0,35.88333333333333,5830.0,-34.01372212692967,4589.0,True,0.027524232864379883
1,2,real_beam10,5007.0,6000.0,16.55,5830.0,-14.11663807890223,4589.0,True,0.19820928573608398
1,2,real_beam20,5007.0,6000.0,16.55,5830.0,-14.11663807890223,4589.0,True,0.3845710754394531
